Biodiesel;C8:0;C10:0;C12:0;C14:0;C16:0;C16:1;C17:0;C17:1;C18:0;C18:1;C18:2;C18:3;C20:0;C20:1;C20:2;C22:0;C22:1;C24:0;C24:1;Total;? (mm2/s)
Algae 1 ;;;;  0.6;  6.9;0.2;;;  3.0;75.2;12.4;  1.2;0.4;;;0.1;;;;100.0;4.519
Babassu ;0.5;  3.8;48.8;17.2;  9.7;;;;  4.0;14.2;  1.8;;;;;;;;;100.0;3.239
Borage;;;;;  9.3;;;;  3.8;17.1;38.7;26.1;;;;0.2;2.5;;1.5; 99.2;4.083
Camelina ;;;;;  5.0;;;;  2.2;17.7;18.0;37.9;1.4;  9.8;1.6;0.4;4.5;0.3;0.2; 99.0;4.365
Canola;;;;;  3.8;0.3;;;  1.9;63.9;19.0;  9.7;0.6;;;0.4;;0.2;0.2;100.0;4.439
Choice White Grease;;;;  1.3;21.6;2.8;0.2;0.3;  9.0;50.4;12.2;  1.0;0.2;  0.5;;;0.3;;; 99.8;4.536
Coconut ;6.3;  6.0;49.2;18.5;  9.1;;;;  2.7;  6.5;  1.7;;;;;;;;;100.0;2.726
Coffee ;;;;;11.0;0.5;;;  3.4;70.0;12.7;  0.8;0.6;  0.1;;0.2;;0.1;; 99.4;4.852
Corn;;;;;12.1;0.1;;0.1;  1.8;27.2;56.2;  1.3;0.4;;;0.2;;;; 99.4;4.382
Evening Primrose ;;;;;  6.0;;;;  1.8;  6.6;76.3;  9.0;0.3;;;;;;;100.0;4.112
Hemp ;;;;;  5.2;;;;  2.4;13.1;57.1;20.0;0.7;;;0.5;;0.3;; 99.3;3.874
Hepar, High IV;;;  0.2;  1.0;20.7;2.7;0.3;0.3;  8.9;46.7;15.6;  0.5;0.2;  0.8;1.3;0.2;0.4;;0.1; 99.9;4.422
Hepar, Low IV;;  0.1;  0.1;  1.5;28.0;1.9;0.3;0.2;20.2;36.1;  9.7;  0.3;0.2;  0.7;0.4;;0.3;;;100.0;4.643
Jatropha;;;;;12.7;0.7;;;  5.5;39.1;41.6;  0.2;0.2;;;;;;;100.0;4.253
Linseed;;;;;  4.4;;;;  3.8;20.7;15.9;54.6;0.2;;;0.3;;0.1;;100.0;3.752
Moringa Oleifera;;;;;  5.5;1.2;;;  5.8;76.3;  0.7;;3.1;  2.0;;4.2;;0.4;; 99.2;5.008
Palm ;;;  0.2;  0.5;43.4;0.1;;;  4.6;41.9;  8.6;  0.3;0.3;;;0.1;;;;100.0;4.570
Perilla Seed;;;;;  5.3;0.1;;;  2.2;16.6;13.7;62.1;;;;;;;;100.0;3.937
Poultry Fat;;;  0.1;  1.0;19.6;3.2;0.3;0.2;  7.5;36.8;28.4;  2.0;0.1;;0.1;0.3;0.4;;;100.0;4.496
Soybean;;;;;  9.4;;;;  4.1;22.0;55.3;  8.9;;;;0.3;;;;100.0;4.039
Sunflower ;;;;;  4.2;;;;  3.3;63.6;27.6;  0.2;;;;0.7;;0.4;;100.0;4.439
Used Cooking Oil;;;  0.1;  0.1;11.8;0.4;0.1;0.1;  4.4;25.3;49.5;  7.1;0.3;;;0.4;0.3;0.1;;100.0;4.332
Yellow Grease;;;  0.1;  0.5;14.3;1.1;0.3;0.2;  8.0;35.6;35.0;  4.0;0.3;;;0.3;0.2;;0.1;100.0;4.552
Soybean;;;;;12;;;;4;25;53;6;;;;;;;;100;4.03
Soygold;;;;;11.96;;;;  3.88;22.63;54.52;  6.60;0.41;;;;;;;100.00;4.066
Bio3000;;;;  0.93;23.3;1.28;;;  9.73;49.65;15.11;;;;;;;;;100.00;4.735
Soybean;;;;;11.75;;;;  3.15;23.26;55.53;  6.31;;;;;;;;100.00;4.08
SMEA;;;;  0.08;10.49;0.12;;;  4.27;24.2;51.36;  7.48;0.36;  0.28;;0.40;0.07;0.14;; 99.25;4.10
GMSME;;;;;  3.97;0.13;;;  2.99;82.54;  4.98;  3.70;0.30;  0.50;;0.36;;0.12;; 99.59;4.87
Coconut;4.8;  6.2;52.7;17.5;  7.4;;;;  2.4;  7.6;  1.4;;;;;;;;;100.0;2.929
Palm;;;  0.3;  0.9;38.0;;;;  6.1;43.9;10.8;;;;;;;;;100.0;4.555
Jatropha;;;;;14.2;1.4;;;  6.9;43.1;34.4;;;;;;;;;100.0;4.40
Sun?ower;;;  0.5;  0.2;  4.8;0.8;;;  5.7;20.6;66.2;  0.8;0.4;;;;;;;100.0;4.10
